pre_date,pre_ch,current_date,project_id,interval
2022-08-04 12:00:00,528.9532,2022-08-18 20:30:50,0,1H
2022-08-04 13:00:00,580.1104,2022-08-18 20:30:50,0,1H
2022-08-04 14:00:00,720.874,2022-08-18 20:30:50,0,1H
2022-08-04 15:00:00,580.29083,2022-08-18 20:30:50,0,1H
2022-08-04 16:00:00,574.9279,2022-08-18 20:30:50,0,1H
2022-08-04 17:00:00,546.09076,2022-08-18 20:30:50,0,1H
2022-08-05 07:00:00,592.3141,2022-08-18 20:30:50,0,1H
2022-08-05 08:00:00,511.98373,2022-08-18 20:30:50,0,1H
2022-08-05 09:00:00,547.2408,2022-08-18 20:30:50,0,1H
2022-08-05 10:00:00,542.7827,2022-08-18 20:30:50,0,1H
2022-08-05 11:00:00,549.4012,2022-08-18 20:30:50,0,1H
2022-08-05 12:00:00,604.7287,2022-08-18 20:30:50,0,1H
2022-08-05 13:00:00,570.2761,2022-08-18 20:30:50,0,1H
2022-08-05 14:00:00,539.4923,2022-08-18 20:30:50,0,1H
2022-08-05 15:00:00,549.1133,2022-08-18 20:30:50,0,1H
2022-08-05 16:00:00,555.69293,2022-08-18 20:30:50,0,1H
2022-08-05 17:00:00,569.09467,2022-08-18 20:30:50,0,1H
